tweet_id,timestamp,source,rating_numerator,rating_denominator,name,img_num,retweet_count,favorite_count,status,score,breed,p_conf
892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,13.0,10,Phineas,1,8842,39492,,1.3,,0.0
892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,13.0,10,Tilly,1,6480,33786,,1.3,Chihuahua,0.323581
891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,12.0,10,Archie,1,4301,25445,,1.2,Chihuahua,0.716012
891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,13.0,10,Darla,1,8925,42863,,1.3,Labrador Retriever,0.168086
891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,12.0,10,Franklin,2,9721,41016,,1.2,Basset,0.555712
891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,13.0,10,,1,3240,20548,,1.3,Chesapeake Bay Retriever,0.425595
890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,13.0,10,Jax,1,2142,12053,,1.3,Appenzeller,0.34170300000000003
890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,13.0,10,,2,19548,66596,,1.3,Pomeranian,0.566142
890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,13.0,10,Zoey,1,4403,28187,,1.3,Irish Terrier,0.487574
890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,14.0,10,Cassie,1,7684,32467,doggo,1.4,Pembroke,0.511319
890006608113172480,2017-07-26 00:31:25,Twitter for iPhone,13.0,10,Koda,1,7584,31127,,1.3,Samoyed,0.957979
889880896479866881,2017-07-25 16:11:53,Twitter for iPhone,13.0,10,Bruno,1,5116,28208,,1.3,French Bulldog,0.377417
889665388333682689,2017-07-25 01:55:32,Twitter for iPhone,13.0,10,,1,8502,38745,puppo,1.3,Pembroke,0.966327
889638837579907072,2017-07-25 00:10:02,Twitter for iPhone,12.0,10,Ted,1,4705,27633,,1.2,French Bulldog,0.99165
889531135344209921,2017-07-24 17:02:04,Twitter for iPhone,13.0,10,Stuart,1,2309,15329,puppo,1.3,Golden Retriever,0.953442
889278841981685760,2017-07-24 00:19:32,Twitter for iPhone,13.0,10,Oliver,1,5635,25712,,1.3,Whippet,0.626152
888917238123831296,2017-07-23 00:22:39,Twitter for iPhone,12.0,10,Jim,1,4681,29555,,1.2,Golden Retriever,0.714719
888804989199671297,2017-07-22 16:56:37,Twitter for iPhone,13.0,10,Zeke,1,4535,26021,,1.3,Golden Retriever,0.46976
888554962724278272,2017-07-22 00:23:06,Twitter for iPhone,13.0,10,Ralphus,3,3722,20267,,1.3,Siberian Husky,0.700377
888078434458587136,2017-07-20 16:49:33,Twitter for iPhone,12.0,10,Gerald,1,3637,22144,,1.2,French Bulldog,0.995026
887705289381826560,2017-07-19 16:06:48,Twitter for iPhone,13.0,10,Jeffrey,1,5584,30690,,1.3,Basset,0.821664
